#Gene Name	Gene ID	LSV ID	E(PSI) per LSV junction	Var(E(PSI)) per LSV junction	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
DPM1	ENSG00000000419	ENSG00000000419:s:49558568-49558663	0.542395499666467;0.396256441756345;0.0613480585771879	0.0012649168911246997;0.0023402899003688304;0.0006688617971475005	s|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o1	False	True	True	3	4	1;1;0	20	-	49557746-49558568;49557470-49558568;49552799-49558568	49552685-49552799;49557402-49557495;49557642-49557746;49558568-49558663		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=20%3A49558663-49552685
DPM1	ENSG00000000419	ENSG00000000419:t:49552685-49552799	0.511018683379821;0.488981316620179	0.0004274140500868345;0.0004274863436748433	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	20	-	49552799-49558568;49552799-49557402	49552685-49552799;49557402-49557495;49558568-49558663		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=20%3A49558663-49552685
DPM1	ENSG00000000419	ENSG00000000419:t:49557402-49557495	0.442179216312177;0.557820783687823	0.00080388551542665;0.0008038617412908277	t|1e1.1o1|2e1.1o1|2e2.2o2|3e3.1o1|3e4.1o2|3e4.2o2	True	True	True	2	5	1;1	20	-	49557470-49558568;49557470-49557666	49557402-49557495;49557642-49557746;49558568-49558663		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=20%3A49558663-49557402
FGR	ENSG00000000938	ENSG00000000938:s:27948070-27948168	0.538617805533912;0.218459157218981;0.0311719399402879;0.211751097306819	8.80712414425791e-05;0.0010162627719820794;0.0006946922450029075;8.80712414425791e-05	s|1e1.1o1|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1	True	False	True	4	6	0;1;0;0	1	-	27945684-27948070;27943807-27948070;27943517-27948070;27942355-27948070	27942200-27942355;27943368-27943517;27943704-27943807;27945468-27945684;27948070-27948168		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27948168-27942200
FGR	ENSG00000000938	ENSG00000000938:s:27949895-27950573	0.523975295953788;0.224341377575072;0.123994368325673;0.127688958145467	0.008581269657175872;0.00015838659623926727;0.00015838659623926727;0.008627438626806372	s|1e2.1o2|1e2.2o2|1e3.1o1|2e4.1o2|i	True	True	True	4	4	1;0;0;0	1	-	27949655-27950202;27949614-27950202;27948168-27950202;27949656-27949894	27948070-27948168;27949553-27949655;27949895-27950573	27949656-27949894	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27950573-27948070
FGR	ENSG00000000938	ENSG00000000938:s:27951391-27951662	0.414569857716547;0.134346330633885;0.14220939372525;0.308874417924319	0.0041274532760010585;0.00013554232243921348;0.00013554232243921348;0.0038413607967265374	s|1e1.2o3|1e2.1o2|1e3.1o1|2e4.2o3|i	True	False	True	4	5	1;0;0;0	1	-	27950440-27951600;27949655-27951600;27948168-27951600;27950574-27951390	27948070-27948168;27949553-27949655;27949895-27950573;27951391-27951662	27950574-27951390	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27951662-27948070
FGR	ENSG00000000938	ENSG00000000938:s:27961576-27961788	0.506016738956045;0.478145571294883;0.0158376897490722	0.0029631520928346915;0.0036674045762772334;0.0006394964360094802	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	False	False	True	3	5	0;1;0	1	-	27953681-27961576;27951662-27961576;27943517-27961576	27943368-27943517;27951391-27951662;27953559-27953681;27961576-27961788		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27961788-27943368
FGR	ENSG00000000938	ENSG00000000938:t:27942200-27942355	0.525687355246936;0.474312644753064	0.0001166916217111655;0.00011659946370490282	t|1e1.2o2|1e2.1o1	False	False	True	2	3	0;1	1	-	27942355-27948070;27942355-27943368	27942200-27942355;27943368-27943517;27948070-27948168		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27948168-27942200
FGR	ENSG00000000938	ENSG00000000938:t:27943368-27943517	0.510051306397513;0.176055333111989;0.205844501614463;0.108048858876035	0.0001603856331849368;0.0011376186705501785;0.0001603856331849368;0.0016227477171508742	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	True	False	True	4	5	0;0;0;1	1	-	27943517-27961576;27943517-27948070;27943517-27945468;27943517-27943704	27943368-27943517;27943704-27943807;27945468-27945684;27948070-27948168;27961576-27961788		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27961788-27943368
FGR	ENSG00000000938	ENSG00000000938:t:27943704-27943807	0.421225403070926;0.578774596929074	0.0002254618277333087;0.00022552225705393258	t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1	False	False	True	2	5	1;0	1	-	27943807-27948070;27943807-27945468	27943704-27943807;27945468-27945684;27948070-27948168		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27948168-27943704
FGR	ENSG00000000938	ENSG00000000938:t:27948070-27948168	0.488153401764597;0.259940953448957;0.251905644786446	0.00010595263732208869;0.00010595263732208869;0.00026489790134309743	t|1e1.1o2|1e2.1o4|1e3.1o1	False	False	True	3	4	0;0;1	1	-	27948168-27951600;27948168-27950202;27948168-27949553	27948070-27948168;27949553-27949655;27949895-27950573;27951391-27951662		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27951662-27948070
FGR	ENSG00000000938	ENSG00000000938:t:27949553-27949655	0.52998528881015;0.125724596883637;0.0342437170401271;0.310046397266086	0.00015838659623926727;0.008581269657175872;0.00015838659623926727;0.008627438626806372	t|1e1.1o2|1e2.1o4|1e2.2o4|2e2.1o4|i	True	True	True	4	3	0;1;0;0	1	-	27949655-27951600;27949655-27950202;27949614-27950202;27949656-27949894	27949553-27949655;27949895-27950573;27951391-27951662	27949656-27949894	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=1%3A27951662-27949553
CD99	ENSG00000002586	ENSG00000002586:s:2632463-2632495	0.565428348720217;0.434571651279783	0.0001711150478987955;0.0001710800697340871	s|1e1.1o1|1e2.2o3	False	False	True	2	3	1;1	X	+	2632495-2635646;2632495-2637702	2632463-2632495;2635646-2635815;2637109-2637746		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2637746-2632463
CD99	ENSG00000002586	ENSG00000002586:s:2641355-2641405	0.51901023451041;0.48098976548959	0.0001499030872779139;0.00014990940847929622	s|1e1.1o2|1e2.2o3|1e2.3o3	False	True	True	2	3	1;0	X	+	2641405-2644301;2641405-2656241	2641355-2641405;2644301-2644414;2655922-2656297		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2656297-2641355
CD99	ENSG00000002586	ENSG00000002586:s:2644301-2644414	0.433009010327887;0.341938004887454;0.187106845547861;0.0379461392367981	4.3709858801575005e-06;8.839056460287903e-09;0.0003597197501421512;0.0002668984879462496	s|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3	False	True	True	4	4	1;1;1;0	X	+	2644414-2651398;2644414-2655922;2644414-2656241;2644414-2656244	2644301-2644414;2651398-2651713;2655922-2656297		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2656297-2644301
CD99	ENSG00000002586	ENSG00000002586:t:2635646-2635815	0.553907989507755;0.121474671797661;0.324617338694584	0.0;5.099880266110383e-09;5.099880266110383e-09	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;1	X	+	2632495-2635646;2633385-2635646;2635515-2635646	nan-2633385;2632463-2632495;2635415-2635515;2635646-2635815		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2635815-2632463
CD99	ENSG00000002586	ENSG00000002586:t:2637109-2637746	0.542375456375076;0.0241431137421133;0.43348142988281	1.3182277981703964e-05;1.5063946184001864e-05;1.3552527156068805e-19	t|1e1.1o1|1e2.1o2|1e2.2o2|2e2.1o2	True	True	True	3	3	1;1;0	X	+	2632495-2637702;2635693-2637702;2635815-2637702	2632463-2632495;2635646-2635815;2637109-2637746		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2637746-2632463
CD99	ENSG00000002586	ENSG00000002586:t:2655922-2656297	0.536479319054165;0.00967030961599069;0.224030556782631;0.229819814547214	8.417181425679965e-09;2.0251072292279306e-05;0.00038946097120695633;0.0002642827743847575	t|1e1.2o2|2e2.1o1|2e3.2o2|3e4.1o1|3e5.2o2	False	True	True	4	6	1;0;1;0	X	+	2644414-2655922;2641405-2656241;2644414-2656241;2644414-2656244	2641355-2641405;2644301-2644414;2655922-2656297		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=X%3A2656297-2641355
M6PR	ENSG00000003056	ENSG00000003056:s:9094775-9095138	0.444830279601058;0.534006317594784;0.0211634028041581	0.007132919913626079;0.0001746652407550891;0.006814556673911995	s|1e1.1o1|1e2.1o2|1e2.2o2|i	False	True	True	3	3	1;1;0	12	-	9094536-9095012;9093465-9095012;9094537-9094774	9092959-9093499;9094245-9094536;9094775-9095138	9094537-9094774	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=12%3A9095138-9092959
M6PR	ENSG00000003056	ENSG00000003056:s:9095892-9096180	0.583379305514353;0.416620694485647	0.0;5.094329805547214e-10	s|1e1.1o2|1e2.2o2	False	False	True	2	3	1;0	12	-	9095138-9096001;9093465-9096001	9092959-9093499;9094775-9095138;9095892-9096180		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh37&position=12%3A9096180-9092959
